metric,direction,approach,history,history_frames,n_complete_bags,test_performed,qwen_median_original,internvl_median_original,llava_median_original,qwen_median_oriented,internvl_median_oriented,llava_median_oriented,best_median_model,friedman_chi2,degrees_of_freedom,raw_p,kendalls_w,holm_p,significant_holm
deep_gini,more negative correctness correlation is better,appfr,H08,8,21,True,-0.25484545001045583,0.06724693599347445,-0.1344534621465118,0.25484545001045583,-0.06724693599347445,0.1344534621465118,qwen,23.52380952380952,2,7.795961132469994e-06,0.5600907029478457,7.016365019222996e-05,True
deep_gini,more negative correctness correlation is better,appfr,H10,10,11,True,-0.23782114380534802,0.06505041604721278,-0.11740509664343642,0.23782114380534802,-0.06505041604721278,0.11740509664343642,qwen,12.181818181818187,2,0.002263350388000263,0.5537190082644631,0.011316751940001315,True
deep_gini,more negative correctness correlation is better,appfr,H12,12,11,True,-0.20872975317632939,0.04933450724320328,-0.09624078630815817,0.20872975317632939,-0.04933450724320328,0.09624078630815817,qwen,16.54545454545456,2,0.00025538782834452984,0.75206611570248,0.001532326970067179,True
deep_gini,more negative correctness correlation is better,appfr,H14,14,24,True,-0.2224779595300974,0.04702738498634832,-0.15131569225930078,0.2224779595300974,-0.04702738498634832,0.15131569225930078,qwen,25.583333333333314,2,2.7838751371301814e-06,0.5329861111111107,3.340650164556218e-05,True
deep_gini,more negative correctness correlation is better,appfr,H16,16,24,True,-0.23148441049145108,0.01979892512546158,-0.19220436569893973,0.23148441049145108,-0.01979892512546158,0.19220436569893973,qwen,21.583333333333314,2,2.0570209560673168e-05,0.4496527777777774,0.00014399146692471216,True
deep_gini,more negative correctness correlation is better,appfr,H18,18,11,True,-0.23173473918301746,0.07168407889486156,-0.20709864793756166,0.23173473918301746,-0.07168407889486156,0.20709864793756166,qwen,12.181818181818187,2,0.002263350388000263,0.5537190082644631,0.011316751940001315,True
deep_gini,more negative correctness correlation is better,appfr,H20,20,10,True,-0.18375091466489935,0.039975403644711194,-0.18221170133337627,0.18375091466489935,-0.039975403644711194,0.18221170133337627,qwen,9.599999999999994,2,0.008229747049020053,0.4799999999999997,0.014893166141848595,True
deep_gini,more negative correctness correlation is better,appfr,H22,22,11,True,-0.18912024559289695,0.06903484249708272,-0.21729890338832727,0.18912024559289695,-0.06903484249708272,0.21729890338832727,llava,11.090909090909093,2,0.003905167724273222,0.5041322314049588,0.011715503172819665,True
deep_gini,more negative correctness correlation is better,appfr,H24,24,10,True,-0.17540771553991805,0.04901718859569382,-0.22114005032314998,0.17540771553991805,-0.04901718859569382,0.22114005032314998,llava,9.800000000000011,2,0.007446583070924297,0.49000000000000055,0.014893166141848595,True
deep_gini,more negative correctness correlation is better,appfr,H26,26,21,True,-0.2246871628583072,0.6888434536201509,-0.22972912084746974,0.2246871628583072,-0.6888434536201509,0.22972912084746974,llava,30.095238095238074,2,2.9167693107498837e-07,0.7165532879818589,4.375153966124826e-06,True
